,2014,,,,2013,,,,2012,,,,2011,,,,2010,,,,2009,,,,2008,,,,2007,,,,2006,,,,2005,,,,2004,,,,2003,,,,2002,,,,2001,,,,2000,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV
"1.PERTANIAN, PETERNAKAN, KEHUTANAN, PERIKANAN",360988.4,367907.5,400015.9,317810.5,324232.1,332712,363839.9,332712,301058.2,305214.5,328968.2,258212,272238.5,277718,299292.2,242198.4,240206.9,249023.6,271356.2,224883.8,205304.3,215662.4,238781.6,197448.5,162068.4,179172.1,208413.4,167002.3,124925.2,135785.1,155196.3,126024.9,106795.7,106208.1,119381.7,100837.9,89895,91668.9,98108.9,84496.5,84250.2,84907.5,87841.9,72125,78117.8,78389.9,82635.6,66640.2,71128.6,72590.2,75572.1,62299.9,61263.8,64420.2,70460.8,55582.2,59608.3,53631.5,57504.9,46086.8
2.PERTAMBANGAN DAN PENGGALIAN,251956.5,263369.2,273125,270299.5,246935.9,238849.8,255096.6,238849.8,250160.8,246345.4,238631.4,237320.8,208901.4,210475.1,221821.9,235785.4,167450.9,176542.2,185324.5,190392.5,131397.3,142177.6,154983.3,163502.7,122566.5,137797.8,141987,138983,102989.9,106290.3,113564,117765.4,84274.5,87623.2,94147.3,100475.8,61641,71557.3,83726.4,92089.4,40756.3,49575.7,55446.6,59473.4,44954,42189.8,41457.2,38971.3,36692.9,38654.1,42489.9,43084.5,45634.3,52211.4,44492.5,39501.3,35014.3,38890.7,45169.8,48617.4
3.INDUSTRI PENGOLAHAN,566866.7,589502.5,612504.9,625130.8,507479.4,525252.8,549343.1,525252.8,467196.6,484349.6,506079.5,514897.9,423502.3,447513.2,464475.1,470649.9,382621.4,394597,403576.1,418278.6,352510.4,360342.6,380248.3,384440.2,303272.5,334107.4,370881.7,368180.1,249121.1,259743,276026,283763.8,215518.6,223986.3,236876.8,243157.6,173962.9,182865.5,188781.8,214751.1,152473.2,157208,164775.9,169885.5,139853.2,139611.5,144504.2,144951.4,127760.6,130896.7,133805.6,130736.7,109697.3,118362,122692.2,127559.9,88249.6,92509.8,99226.5,105612
a. Listrik,12629.6,13626.8,13621.7,14852.6,10833.4,11199.6,11735.9,11199.6,9225.9,9822.1,9888,10441.6,8233.5,8781,9123.3,9305.3,6949.4,7510.5,7908.4,8082,6684.8,7174.8,7256,7301.1,6021.4,6487.7,6662,6687.5,5466.4,5671.5,5950,5963.6,5034.3,5251.4,5461.9,5455.9,4589.2,4740.3,4812.3,5033.3,4259,4377.6,4427.2,4439.4,3149.1,3369.2,3741.6,3725.8,2385.7,2586.1,2809.4,3041.4,1599.1,1725.5,2043.4,2272.8,1215.8,1404,1539.6,1773.4
b. Gas Kota,4492.6,4753.9,4743.1,5467,4624,4351.5,3943.1,4351.5,3979.9,4149.8,4352.3,4424.7,3536.1,3593,3763,3941.8,3326.8,3308.2,3306.7,3412,3168.5,3239.4,3259.7,3359.9,2217.8,2417.8,2544.6,2636.8,1448.1,1643.2,1820.1,2000.6,1282.8,1271.7,1189.8,1291.8,865.8,947.7,996.6,1087.6,662.3,736.3,820.7,873,542.8,548.5,612.5,594.3,449,503.2,548.2,521.8,331.2,391.4,449.7,442.6,219.1,268.7,290.9,293.6
c. Air Bersih,1682.4,1732.3,1757.5,1771.5,1560.3,1606.2,1629.6,1606.2,1474,1489,1506.2,1518.1,1370,1381.1,1413.4,1440.8,1301.8,1310,1341.1,1362.1,1268.8,1300.6,1313.8,1352.6,1268.9,1292.2,1318.6,1333.3,1128.2,1180.4,1206.7,1245,999.6,1022.6,1040.2,1052.8,848.2,873.4,922.1,977.3,752.8,783.3,794.3,804.4,670.1,720.5,733.7,736.1,611.9,621.3,652.2,661.8,397.7,398.1,402.4,400.9,334.8,342.8,351.8,359.3
5.KONSTRUKSI,233343.4,245097.7,258217.9,277881.8,212277.6,222199.4,230494.1,222199.4,195575.6,206478,216950.7,225086.6,173052.8,183336.1,194070.2,203095.5,150541.5,160598.7,172481.4,177268.9,126948.7,135261.5,144012.7,148969.6,89393.8,100807.5,113454.8,116055.8,69422.3,72573,78044.5,84957,58268.9,60950,64709.9,67203.5,43183.8,46564.4,49157.5,56204.9,34989.3,36598.6,39057.6,40602.1,29744.1,30567,32095.4,32930.6,25917.6,26613.2,28266.1,29730.5,21995.1,22908,23836.5,25051,17802.9,18133.7,19486.2,21150.6
a. Perdagangan Besar dan Eceran,281168.3,294712.8,303960.3,311390,244452.8,257930.5,271389.7,257930.5,216292.5,230039.6,237959.3,245454.7,190332.7,203532.1,214923.9,218667.8,164381,171010.2,181478,186696.6,137528.2,139756,150114.3,158713.3,123236.6,134308.8,148383.3,145415,108453.6,113559.2,123409.8,123311.7,90529.2,96765.5,103386.2,102366.5,78285.1,83639,87862.4,88880.7,67165.1,70053.7,74047.1,76287.6,65031.3,64524.3,65773.5,65249.3,58523.3,59306.3,62288.9,62986.1,52260.5,56187.3,56179.7,56666.6,41623.3,44165.9,47938.4,51242.3
b. Hotel,10829.1,11709.4,11856.1,12575.6,9067.5,9710.7,9883.2,9710.7,7430.6,7957.8,8050.5,8837.7,6000.8,6428,6777.8,7353.9,5573,5869.2,6068.4,6366,5061.4,5165.9,5244.6,5309.6,4534.4,4730.1,4792.5,4843.3,4185.4,4317.7,4387.6,4429.7,3812.1,4004.1,4119.3,4138.7,3300.7,3476.8,3672.6,3696.8,3014.3,3152.3,3257.3,3261.5,2797,2826,2759.9,2946,2507.9,2479.1,2731.2,2737.5,2400.3,2448.2,2531.9,2554.8,2128.4,2213.9,2277.2,2359.2
