,2022,,,,2021,,,,2020,,,,2019,,,,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,,2012,,,,2011,,,,2010,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV
"A. Pertanian, Kehutanan, dan Perikanan",566764.7,638882.8,657151.8,-,525276.9,596913.2,619446,512200.7,503558,569762,571652.8,470416.3,478505.6,537752.2,546817,449668,465396.6,502398.1,519472.6,413354.4,438519.5,468865,489398.6,391180.1,395458.3,442483.7,462892.6,370763.2,373324.5,409907.4,433272.2,338702.9,337476.6,360435,394582.6,317161.5,297420,323509.9,363817.8,290300.7,275143.4,292970.6,327918.5,256229.6,247378.5,267489.4,301824.1,241553.3,219047.6,241215.9,273687.1,222169.1
B. Pertambangan dan Penggalian,472869.7,642499,685967.7,-,303403.1,337953.3,413148.1,469145.6,267420.3,231507.6,239875.1,254738.9,294001.1,292755.9,282797.5,280359,284732.4,293755.2,315501,304998.5,255965,246534.8,250497.4,276557.4,203805.4,210168.8,221848.6,255045.5,227523.1,228468.1,217356.4,208346.5,263560.1,260869.2,266708.9,248284.8,259388,246501.6,265653.5,279202.7,267665.7,255807.4,240439.6,236394.9,213969.9,222329.2,235533.2,252981.1,163641.9,177593.7,183944,192949
C. Industri Pengolahan,866263.3,877824.8,910434.1,-,787424.4,805622.3,828448.3,845408.5,783622,732564.5,773433.5,778421.7,759017.9,773711.6,798053.5,788810.8,710351.6,729873.9,754221.2,753004.1,661774.3,682513.3,698585.7,696838.6,617397.4,635488.3,644068.7,648249.2,579827.5,602875.7,615005.3,621183.2,532737.4,555281.5,563831.9,575733.2,482241.5,498084.9,505276.7,521823.7,444727.3,458154.5,469110.9,476158.2,399405,422678.9,441446.9,440719.7,369324.8,377765.1,379908.8,385762.1
D. Pengadaan Listrik dan Gas,50006.1,50473.8,52043.3,-,46700.5,46073.9,47573.4,49699.4,45933.6,41995,45701.4,46111.6,44179,44742.2,47285.5,48908.6,41935.1,43573,45242.4,45889.8,38826,39254,41768.8,42491,32148.4,34881.9,36699.4,38614.7,29428.5,32892.1,32591.5,34921.6,26923.8,30161,27839,29981.3,24132.7,24217.1,23843.9,26493.1,23372.2,23605.1,24188.1,24472.4,21273.4,22524.4,23564.3,24359.8,17435.3,18185.6,18297.6,18630.6
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",2999,3154.2,3162.8,-,2938.3,2989.4,3002.9,3094.3,2759.3,2777.8,2837.3,2930.3,2626.9,2663.4,2665.2,2780.6,2405.6,2452.3,2535.6,2630.1,2303.1,2333.9,2376.2,2425.4,2177.1,2217.2,2236.6,2278.5,2057.9,2141,2156.1,2191.3,1909.8,1938.9,1970,2021.9,1749.4,1767.2,1831.9,1860.5,1621.3,1643.1,1658,1681.4,1521.4,1540,1560.3,1587.1,1401.5,1447.7,1477,1522.3
F. Konstruksi,470444.2,449492.3,480862.7,-,428661.5,422463.2,449341.7,471260.3,419714.3,389445.8,412959.3,430540.2,406887.8,410945.8,431255.4,452652.2,367837.7,374678.7,397581.6,422199,329888.9,340378.2,358918.2,381328.3,306118.6,311273.7,327034,343174.5,273054,282761.1,299388.5,321880.5,240355.1,253738.8,265324.4,282531.2,202989.3,220226,233962.3,248812.9,184310,197306.6,208427.4,215164.1,168407.7,175495.5,179995.8,188285.4,142421.1,152230.9,163240.5,169012.9
G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,590921.6,625132.1,648601.6,-,519407.9,546300.3,562942.5,571878.2,517341.6,472868.6,499113.1,504802,499008,513210,527723.2,520327.7,460221.1,477819.4,499867.9,493904.6,425402.2,437815.2,453517.4,452130.4,393073.3,408834.4,416502.8,416999.9,363093.9,381907.7,394049.6,393825.5,334287.8,356264.2,366887.3,361800.1,290599.6,315138.7,327902.6,327504.7,271493.2,286248.2,293972.8,286770.2,246153,265463.2,279334.6,275141.3,219838.5,229342.4,236171.6,238571.3
H. Transportasi dan Pergudangan ,208523.1,235864.1,254894.9,-,169660.6,175953.2,168853.5,205165.3,202758,131883.6,171184.9,183751.3,209320.4,220869.1,225141.3,226174.6,189187.8,200806.6,202529.9,205252.7,167954.8,177806.3,195535.8,193932.7,149871.5,152632.4,170509.8,171980.2,132577.2,139950.1,152118.9,153818.1,103394.9,112133.7,121402.9,130037.4,83629.1,88366.2,100125.9,103184.7,73658.5,76170.6,82035.9,81291.2,66098.6,68122.5,71555.8,70345.5,55625.3,59365.7,64046.8,66337.6
I. Penyediaan Akomodasi dan Makan Minum,110086.6,116206.7,118285.5,-,101478.8,103512,97592.8,109677,109718,84136.7,97044.2,103156.1,106918.7,108790.2,110804.2,113694.6,100182.1,102214.7,104250.3,106062.6,94423.7,95954.3,97545.9,99089.2,88502.5,89809.2,91427.8,93316,82643.9,84556.7,86189,88166.2,77976.9,79824.8,80793.4,82467,68748.7,70712.1,73530.5,76507,60160.3,61855.9,63807,66789.1,53361.7,54880.3,57097.5,58875.8,47265.7,49237.9,51303.5,52474.7
